Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Los Angeles Department of Public Works - Imperial Maintenance Yard,5525 Imperial Hwy,,South Gate,CA,90280,,,E,,Private - Government only,,,,,,,6,,,Non-Networked,,200-8,33.930663,-118.175758,2022-08-10,21618,2023-08-08 16:13:43 UTC,LG,,,2017-10-20,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,,San Luis Obispo,CA,93401,,,E,,Private,For fleet vehicle use only; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,GPS,35.25939,-120.64492,2023-01-10,21713,2023-02-14 15:54:11 UTC,LG,,,2002-07-15,,,,,J1772 NEMA520,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,LADWP - Wilmington District Yard,315 N Island Ave,,Wilmington,CA,90744,,,E,,Private,Fleet use only,,,,,,8,,,Non-Networked,,200-8,33.773005,-118.265821,2023-01-10,25171,2023-02-15 22:45:41 UTC,LG,,,2019-04-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,Gateway Oaks Metro Center,2710 Gateway Oaks Dr,,Sacramento,CA,95833,,916-921-5795,E,,Private,Tenant use only,,,,,,1,,,Non-Networked,,200-8,38.615468,-121.517263,2023-05-03,25500,2023-05-03 20:36:28 UTC,P,,,2004-05-30,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,Elk Grove Kia,8480 Laguna Grove Dr,,Elk Grove,CA,95758,,,E,,Private,Service center use only,,,,,,1,,,Non-Networked,,GPS,38.40553,-121.391,2022-08-10,25525,2023-02-15 22:45:41 UTC,P,,,2012-05-10,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,City of Vacaville - Police Headquarters,660 Merchant St,,Vacaville,CA,95688,,,E,,Private - Government only,,,,,,,1,,1 SP Inductive,Non-Networked,,200-8,38.35109,-121.993654,2023-05-03,29862,2023-05-03 20:36:28 UTC,LG,,,2006-08-15,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false
ELEC,Southern California Edison - Sacramento Office,1201 K St,,Sacramento,CA,95831,,,E,,Private,,,,,,,1,,,Non-Networked,,200-9,38.578568,-121.491058,2021-11-04,32850,2023-02-15 22:45:41 UTC,T,,,2008-01-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,LADWP - Boylston,1141 W 2nd St,At Beaudry Ave,Los Angeles,CA,90026,,,E,,Private - Government only,Employee use only,,,,,,17,,,Non-Networked,,200-8,34.059047,-118.256812,2023-09-14,33177,2023-09-14 14:01:49 UTC,LG,,,2016-10-15,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Central District,1350 S Wall St,North of 15th St,Los Angeles,CA,90015,,,E,,Private,Fleet use only,,,,,,21,,,Non-Networked,,200-8,34.033898,-118.256673,2023-01-10,33178,2023-02-15 22:45:41 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Lincoln Heights District,3101 Artesian St,Between W Ave 26 and W Ave 33,Los Angeles,CA,90031,,,E,,Private,Fleet use only,,,,,,79,,,Non-Networked,,200-8,34.081998,-118.21713,2023-09-14,33179,2023-09-14 14:01:49 UTC,LG,,,2016-01-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Receiving Station C,900 E Lomita Blvd,East of Wilmington Ave,Wilmington,CA,90744,,,E,,Private - Government only,Fleet use only,,,,,,2,,,Non-Networked,,200-8,33.799476,-118.257977,2023-01-10,33180,2023-02-15 22:45:41 UTC,LG,,,2016-01-01,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Valley Center Admin Lot,14401 Saticoy St,At Van Nuys Blvd,Van Nuys,CA,91405,,,E,,Private - Government only,Fleet and employee use only,,,,,,95,2,,Non-Networked,,200-8,34.208708,-118.444358,2023-09-14,33182,2023-09-14 14:01:49 UTC,LG,,,2019-05-06,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,LADWP - Valley Generating Station,11801 Sheldon St,Between Glenoaks Blvd and San Fernando Rd,Sun Valley,CA,91352,,,E,,Private,Fleet and employee use only,,,,,,17,,,Non-Networked,,200-8,34.241928,-118.390147,2023-01-10,33183,2023-02-15 22:45:41 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,Nike - LA Garage,1 Bowerman Dr,,Beaverton,OR,97006,,,E,,Private,For employee use only,,,,,,6,,,Non-Networked,,GPS,45.508795,-122.8249,2023-01-10,34859,2023-02-14 15:54:11 UTC,P,,,2017-02-21,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,WIND,,,,,,,,,LD,true
ELEC,New York Institute of Technology - Old Westbury Solar Carport Station,Valentines Ln & Northern Blvd,Route 25A,Old Westbury,NY,11568,,,E,,Private,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,4,,,,Non-Networked,,GPS,40.814019,-73.608978,2022-03-07,35272,2023-02-15 22:45:41 UTC,P,,,2009-11-15,,,,,NEMA520,US,,,,Privé,,private,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,SOLAR,,,,,,,,,LD,false
ELEC,OEG,3200 NW Yeon Ave,,Portland,OR,97210,,,E,,Private,Employee use only,,,,,,2,,,Non-Networked,,200-9,45.545898,-122.707102,2023-05-03,35557,2023-05-03 20:36:28 UTC,P,,,2009-11-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,,Albany,NY,12203,,,E,,Private,Employee and guest use only,,,,,1,7,,,Non-Networked,,200-9,42.702424,-73.857693,2022-03-07,35562,2023-02-15 22:45:41 UTC,P,,,2008-07-01,,,,,J1772 NEMA520,US,,,,Privé,,private,,,STATE_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,true
ELEC,Saratoga Technology & Energy Park,10 Hermes Rd,,Malta,NY,12020,,,E,,Private,Employee and guest use only,,,,,2,,,,Non-Networked,,200-9,42.969823,-73.773021,2022-06-14,35563,2023-02-15 22:45:41 UTC,SG,,,2008-07-01,,,,,NEMA520,US,,,,Privé,,private,,,RESEARCH_FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,The Hartford Financial Services Group - Lot 4,1 Hartford Plaza,Southwest corner of lot #4 behind main building,Hartford,CT,06105,,,E,,Private,Employee and visitor use only,,,,,,2,,,Non-Networked,,GPS,41.770428,-72.687141,2022-07-12,37679,2023-02-15 22:45:41 UTC,P,,,2011-04-01,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,The Hartford Financial Services Group,1 Griffin Rd N,North corner of main parking lot,Windsor,CT,06095,,,E,,Private,Employee and visitor use only,,,,,,3,,,Non-Networked,,GPS,41.879631,-72.729919,2022-07-12,37681,2023-02-15 22:45:41 UTC,P,,,2011-04-01,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,King County - King County Van Distribution Center,18655 NE Union Hill Rd,Off NE Union Hill Road between 188th Ave NE and 178th Pl NE,Redmond,WA,98052,,,E,,Private,,,,,,,3,,,Non-Networked,,200-9,47.675897,-122.091237,2023-07-11,38083,2023-07-11 18:28:56 UTC,LG,,,2011-07-15,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Eversource,56 Prospect St,,Hartford,CT,06106,,,E,,Private,,,,,,,2,,,Non-Networked,,200-9,41.765253,-72.671569,2022-07-12,38096,2023-02-15 22:45:41 UTC,P,,,2015-11-02,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,State of Illinois - Governor's Mansion,401-499 E Edwards St,,Springfield,IL,62703,,,E,,Private,For state vehicle use only,,,,,,1,,,Non-Networked,,GPS,39.79628,-89.6504,2021-11-04,38857,2023-02-15 22:45:41 UTC,SG,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Duke Energy,1000 E Main St,8665826345,Plainfield,IN,46168,,,E,,Private,,,,,,,9,,,Non-Networked,,GPS,39.70909,-86.3894,2023-01-10,38859,2023-02-14 15:54:11 UTC,T,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,3M,3M Center Dr,,St. Paul,MN,55117,,,E,,Private,Employee use only; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,42,2,,,Non-Networked,,GPS,44.95121,-92.9952,2023-03-08,38887,2023-03-08 17:16:33 UTC,P,,,2014-12-11,,,,,J1772 NEMA520,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,Missouri University of Science and Technology - E3 Commons,903 Collegiate Blvd,I-44 and Exit 185,Rolla,MO,65401,,,E,,Private,,,,,,,2,,,Non-Networked,,200-8,37.958953,-91.779289,2022-01-10,39096,2023-02-15 22:45:41 UTC,SG,,,2011-03-01,,,,,J1772,US,,,,Privé,,private,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Eversource Energy Park,780 N Commercial St,,Manchester,NH,03101,,,E,,Private,Employee use only,,,,,,1,,,Non-Networked,,200-8,42.999265,-71.467911,2022-12-13,39294,2023-02-15 22:45:41 UTC,T,,,2011-04-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,KEMET Corp,2835 Kemet Way,Kemet Way is road frontage to I-385,Simpsonville,SC,29681,,,E,,Private,KEMET employee and official visitor use only,,,,,,1,,,Non-Networked,,200-9,34.749177,-82.279741,2022-01-10,39414,2023-02-15 22:45:41 UTC,P,,,2011-05-15,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,Virginia Commonwealth University (VCU) - N-Deck Parking Deck,615 N 10th St,2nd level,Richmond,VA,23298,,,E,,Private,"24 hours daily; students, faculty, and staff may purchase parking permits through VCU",,,,,,5,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.543387,-77.42953,2023-01-10,39575,2023-02-14 15:54:11 UTC,SG,,,2011-05-15,,,,,J1772,US,,,,Privé,,private,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,true
ELEC,Rairdon's Nissan - Auburn,713 35th St NE,,Auburn,WA,98002,,,E,,Private,Service center only,,,,,,1,,,Non-Networked,,200-9,47.338754,-122.221114,2020-06-09,39776,2023-02-15 22:45:41 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,City of West Palm Beach - City Center Garage,401 Clematis St,Located on the third floor,West Palm Beach,FL,33401,,561-822-1500,E,,Private,City fleet access only,,,,,,1,,,Non-Networked,,200-9,26.713894,-80.05421,2021-10-12,39981,2023-02-15 22:45:41 UTC,LG,,,2011-05-20,,,,,J1772,US,,,,Privé,,private,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Lower Town Parking Ramp,316 Jackson St,,St. Paul,MN,55101,,651-291-0523,E,,Private - Fleet customers only,24 hours daily for monthly parkers only,CREDIT,,,,,1,,,Non-Networked,,GPS,44.947042,-93.088226,2022-04-06,40047,2023-02-15 22:45:41 UTC,LG,,,2011-10-17,,,,,J1772,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,PAY_GARAGE,,,,,,,$6 per session,,,,,,,,,,,,,,,,,,LD,false
ELEC,Currie Maintenance Facility,1200 Currie Ave N,,Minneapolis,MN,55415,,,E,,Private,Facility hours,,,,,,1,,,Non-Networked,,200-8,44.977961,-93.282508,2022-04-06,40053,2023-02-15 22:45:41 UTC,LG,,,2011-08-15,,,,,J1772,US,,,,Privé,,private,,,FLEET_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false
ELEC,St. Paul Natural Resources Department,1100 N Hamline Ave,,St. Paul,MN,55108,,,E,,Private - Government only,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,200-8,44.973838,-93.156808,2023-01-10,40056,2023-02-14 15:54:11 UTC,LG,,,2011-03-15,,,,,J1772 NEMA520,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,St. Paul Public Works Maintenance Garage,873 Dale St N,,St. Paul,MN,55103,,,E,,Private - Government only,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,200-9,44.967593,-93.127742,2023-01-10,40057,2023-02-14 15:54:11 UTC,LG,,,2012-07-31,,,,,J1772 NEMA520,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,International Brotherhood of Electrical Workers 569 - NECA Electrical Training Center,4675 Viewridge Ave,Balboa and I-15,San Diego,CA,92123,,,E,,Private,Employee and student use only,,,,,,2,,,Non-Networked,,GPS,32.823912,-117.12114,2023-05-03,40185,2023-05-03 20:36:28 UTC,P,,,2011-07-22,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,,,,,,,,,,false
ELEC,AT&T,208 S Akard St,,Dallas,TX,75201,,,E,,Private,AT&T fleet vehicle use only,,,,,,4,,,Non-Networked,,GPS,32.779791,-96.7990454,2022-01-10,40376,2023-02-15 22:45:41 UTC,P,,,2013-06-01,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,Harper Corp,35 W Court St,Suite 400,Greenville,SC,29601,,,E,,Private,Employee and authorized visitor use only,,,,,,1,,,Non-Networked,,200-9,34.848783,-82.401211,2023-06-12,40482,2023-06-12 16:56:16 UTC,P,,,2011-07-15,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,true
ELEC,Victor Building Parking Garage,750 9th St NW,Located on the first level,Washington,DC,20001,,,E,,Private,24 hours daily; for tenant use only. Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,200-9,38.899392,-77.024385,2023-01-10,40593,2023-08-11 19:46:24 UTC,P,,,2011-05-31,,,,,J1772 NEMA515,US,,,,Privé,,private,,,PAY_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,Quigley Chevrolet,326 Main St,Between N 3rd & 4th on Rte 100; located in Service Area,Bally,PA,19503,,,E,,Private,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,40.397876,-75.588988,2022-08-10,40697,2023-02-15 22:45:41 UTC,P,,,2011-08-19,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false
ELEC,Mentor Graphics,8005 SW Boeckman Rd,,Wilsonville,OR,97070,,,E,,Private,Employee and customer use only;  Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,200-8,45.317487,-122.759692,2023-09-14,40765,2023-09-14 14:01:49 UTC,P,,,2011-03-15,,,,,J1772 NEMA515,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,Rivers Casino,3000 S River Rd,Located in NW corner of 2nd floor,Des Plaines,IL,60018,,,E,,Private,Employee and customer use only,,,,,,2,,,Non-Networked,,200-9,41.99774,-87.864217,2021-09-10,40806,2023-02-15 22:45:41 UTC,P,,,2011-03-01,,,,,J1772,US,,,,Privé,,private,,,OTHER_ENTERTAINMENT,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,true
ELEC,Novus - Employee Parking,20 Research Park Dr,,St. Charles,MO,63304,,,E,,Private,Employee use only,,,,,1,2,,,Non-Networked,,GPS,38.709309,-90.683128,2022-01-10,41047,2023-02-15 22:45:41 UTC,P,,,2010-01-15,,,,,J1772 NEMA520,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,true
ELEC,Giant Eagle - Warehouse,755 Beechnut Dr,,Pittsburgh,PA,15205,,,E,,Private,,,,,,,1,,,Non-Networked,,200-9,40.453507,-80.085371,2023-09-14,41049,2023-09-14 14:01:49 UTC,P,,,2011-09-01,,,,,J1772,US,,,,Privé,,private,,,STANDALONE_STATION,,,,,,,,,,,,,,,,,,,,,,,,,HD,false
ELEC,Florida Power & Light - Central Garage,122 SW 3rd St,,Miami,FL,33130,,,E,,Private,,,,,,,3,,,Non-Networked,,200-9,25.7703,-80.196621,2021-04-08,41093,2023-02-15 22:45:41 UTC,T,,,2011-09-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Florida Power & Light - Automotive Engineering Center,2457 Port West Blvd,,West Palm Beach,FL,33407,,,E,,Private,,,,,,,3,,,Non-Networked,,200-8,26.769595,-80.102645,2021-04-08,41096,2023-02-15 22:45:41 UTC,T,,,2011-09-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Florida Power & Light - Jupiter Service Center,100 S Delaware Blvd,,Jupiter,FL,33458,,,E,,Private,,,,,,,4,,,Non-Networked,,200-9,26.932602,-80.118594,2021-04-08,41099,2023-02-15 22:45:41 UTC,T,,,2011-09-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Florida Power & Light - Customer Service East,6001 Village Blvd,,West Palm Beach,FL,33407,,,E,,Private,Employee and fleet use only,,,,,,4,,,Non-Networked,,200-9,26.764076,-80.10151,2021-04-08,41100,2023-02-15 22:45:41 UTC,T,,,2011-09-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,Florida Power & Light - LeJeune Flagler Office,4200 W Flagler St,,Miami,FL,33134,,,E,,Private,Employee and fleet use only,,,,,,6,,,Non-Networked,,200-9,25.770827,-80.264645,2021-04-08,41101,2023-02-15 22:45:41 UTC,T,,,2011-09-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,Florida Power & Light - Dade Meters Distribution,6445 NW 72nd,,Miami,FL,33166,,,E,,Private,,,,,,,3,,,Non-Networked,,200-8,25.833883,-80.313867,2021-04-08,41102,2023-02-15 22:45:41 UTC,T,,,2011-09-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Saint Francis Eastside Hospital - Bon Secours Health System,125 Commonwealth Dr,Front entrance,Greenville,SC,29615,,,E,,Private,,,,,,,1,,,Non-Networked,,200-8,34.850504,-82.322852,2022-01-10,41121,2023-02-15 22:45:41 UTC,P,,,2011-10-03,,,,,J1772,US,,,,Privé,,private,,,HOSPITAL,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,true
ELEC,Fred Caldwell Chevrolet,974 Bethel St,,Clover,SC,29710,,,E,,Private,Dealership business hours; service use only,,,,,,1,,,Non-Networked,,200-9,35.105398,-81.208515,2023-06-12,41122,2023-06-12 16:56:16 UTC,P,,,2011-09-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
